Project,Id,Date of observation,Latitude,Longitude,Observer,Upload date,Edition date,Highlighted,Highlight type,Validated,Species,Photo name,Comments,Editor,Editor comments,Link,Habitat,Depth,Abundance
Crustacis Decàpodes,400181,2004-08-06,41.143,1.4136,Pere Abelló i Sala,2012-06-20 15:39:13+00:00,2025-10-20 11:38:38.103839+00:00,No,No destacada,Yes,Maja crispata,4-635--20040806-majcri_04tdm0015.webp,Una muda. Torredembarra,,,https://www.observadoresdelmar.es/Observations/400181,,,1
Crustacis Decàpodes,400182,2007-08-16,41.1248,1.2914,Pere Abelló i Sala,2012-06-20 15:50:06+00:00,2025-10-20 11:40:17.700888+00:00,No,No destacada,Yes,Eriphia verrucosa,4-605--20070816-eriver_20070816_01.webp,0 m. Platja dels Capellans - Tarragona,,,https://www.observadoresdelmar.es/Observations/400182,,,25
Crustacis Decàpodes,400183,2009-08-27,41.8925,3.1933,Pere Abelló i Sala,2012-06-20 15:59:36+00:00,2025-10-20 11:39:54.539847+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,4-641--20090827-pacmar_20090827_824.webp,Llafranc. 0 m,,,https://www.observadoresdelmar.es/Observations/400183,,,25
Crustacis Decàpodes,400185,2001-08-21,41.1171,1.2747,Pere Abelló i Sala,2012-06-20 16:04:40+00:00,2025-10-20 11:39:54.656539+00:00,No,No destacada,Yes,Eriphia verrucosa,4-605--20010821-eriver_20110821_074.webp,UNA MUDA. 1 m,,,https://www.observadoresdelmar.es/Observations/400185,,,1
Crustacis Decàpodes,400186,2008-10-10,36.7236,-2.1936,Pere Abelló i Sala,2012-06-20 16:13:29+00:00,2025-10-20 11:39:55.007309+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,4-641--20081010-pacmar_20081010_051.webp,Cabo de Gata. 0 m,,,https://www.observadoresdelmar.es/Observations/400186,,,50
Crustacis Decàpodes,400188,2008-10-11,38.1803,-0.6071,Pere Abelló i Sala,2012-06-20 16:20:01+00:00,2025-10-20 11:39:53.945372+00:00,No,No destacada,Yes,Carcinus aestuarii,4-596--20081011-caraes_20081011_094.webp,"Santa Pola - Salines, canals. 0 m",,,https://www.observadoresdelmar.es/Observations/400188,,,1
Crustacis Decàpodes,400189,1987-12-20,41.1238,1.2892,Pere Abelló i Sala,2012-06-20 16:27:27+00:00,2025-10-20 11:39:55.424868+00:00,No,No destacada,Yes,Acanthonyx lunulatus,4-585--19871220-acalun_8712cr_5_2.webp,"Platja dels Capellans - Tarragona, 0 m. No hi ha cap femella ovígera.
 ",,,https://www.observadoresdelmar.es/Observations/400189,,,25
Crustacis Decàpodes,400264,2012-07-15,39.5447,2.6202,Juan Antonio Torres Balaguer,2012-07-18 11:01:42+00:00,2025-10-20 11:38:48.563306+00:00,Yes,Fotografia excel·lent,Yes,Palaemon serratus,4-99998--20120715-dsc06096.webp,Este ejemplar junto a unos cuantos mas habitan en las cuevas del dique del oeste en la bahia de palma de mallorca a una profundidad entre 5-10mts con aloclimas y termoclimas y junto a estos crustaceos cohabitan muchas ofiuras carroñeras,,,https://www.observadoresdelmar.es/Observations/400264,,,25
Crustacis Decàpodes,400295,2012-08-11,41.1427,1.4133,Pere Abelló i Sala,2012-08-11 19:59:38+00:00,2012-09-03 11:10:43+00:00,No,No destacada,Yes,Maja crispata,,"una muda, trobada per l'Arnau Ribera; prof: 2 m",,,https://www.observadoresdelmar.es/Observations/400295,,,1
Crustacis Decàpodes,400299,2012-08-17,41.1982,1.6713,Pablo  Ruiz ,2012-08-17 02:03:14+00:00,2025-10-20 11:39:55.823573+00:00,Yes,Fotografia excel·lent,Yes,Xantho poressa,4-99998--20120817-_dsc0019.webp,,,"Pere Abelló: Xantho poressa es una especie bastante común en el Mediterráneo a poca profundidad y que a menudo se encuentra bajo piedras. Se distribuye en todo el Mediterráneo, incluido el Mar Negro, y en el Atlántico es conocido en el Golfo de Cádiz y Canarias. Gracias a observaciones como las tuyas podremos ir delimitando el área de distribución y su hábitat.",https://www.observadoresdelmar.es/Observations/400299,,,2
Crustacis Decàpodes,400304,2012-08-19,41.1666,1.4852,Pablo  Ruiz ,2012-08-20 23:50:15+00:00,2025-10-20 11:39:24.131813+00:00,No,No destacada,Yes,Pirimela denticulata,4-99998--20120819-_dsc0006.webp,"muerto, en la orilla de la playa",,"Pere Abelló: Pirimela denticulata es la única especie de este género y se distribuye en el Mediterráneo y Atlántico oriental desde Senegal hasta el Mar del Norte. Vive en playas de arena fina cerca de rocas, a muy poca profundidad.",https://www.observadoresdelmar.es/Observations/400304,,,2
Crustacis Decàpodes,400355,2012-08-08,41.1431,1.4143,Arnau Ribera Tort,2012-09-09 15:58:51+00:00,2025-10-20 11:39:56.344430+00:00,No,No destacada,Yes,Gnathophyllum elegans,4-611--20120808-gnatophyllumelegansp.webp,,,,https://www.observadoresdelmar.es/Observations/400355,,,2
Crustacis Decàpodes,400356,2012-07-19,41.143,1.4144,Arnau Ribera Tort,2012-09-09 16:12:19+00:00,2025-10-20 11:39:56.471618+00:00,No,No destacada,Yes,Calcinus tubularis,4-594--20120808-calcinustubularisp.webp,,,,https://www.observadoresdelmar.es/Observations/400356,,,25
Crustacis Decàpodes,400357,2012-07-20,41.1433,1.4144,Arnau Ribera Tort,2012-09-09 17:42:15+00:00,2025-10-20 11:38:48.633075+00:00,Yes,Fotografia excel·lent,Yes,Athanas nitescens,4-99998--20120720-athanas3.webp,,,,https://www.observadoresdelmar.es/Observations/400357,,,25
Crustacis Decàpodes,400358,2012-07-20,41.1432,1.4143,Arnau Ribera Tort,2012-09-09 17:48:36+00:00,2025-10-20 11:39:57.343698+00:00,Yes,Fotografia excel·lent,Yes,Alpheus dentipes,4-586--20120720-f3p.webp,No sé quina de les dues espècies d'Alpheus és. M'agradaria saber-ne la identificació correcta. Gràcies,,"P. Abelló: Es tracta d'un Alpheus dentipes. Pel que he pogut veure, la coloració i aspecte de les pinces són característics. La foto no permet apreciar tots els detalls morfològics, però tot apunta a que es tracta d'aquesta espècie.",https://www.observadoresdelmar.es/Observations/400358,,,25
Crustacis Decàpodes,400359,2012-07-27,41.1429,1.4138,Arnau Ribera Tort,2012-09-09 17:51:01+00:00,2025-10-20 11:39:57.482770+00:00,No,No destacada,Yes,Alpheidae,4-587--20120720-f1p.webp,No sé quina de les dues espècies d'Alpheus és. M'agradaria saber-ne la identificació correcta. Gràcies,,P.Abelló: No sé de quina espècie es tracta. De moment ho validarem a nivell de família Alpheidae. Quan tingui més informació ja veurem fins on podem arribar.,https://www.observadoresdelmar.es/Observations/400359,,,25
Crustacis Decàpodes,400360,2012-07-26,41.1434,1.4146,Arnau Ribera Tort,2012-09-09 18:00:00+00:00,2025-10-20 11:39:57.552411+00:00,No,No destacada,Yes,Lysmata seticaudata,4-629--20120727-lysmata2.webp,,,,https://www.observadoresdelmar.es/Observations/400360,,,25
Crustacis Decàpodes,400361,2012-08-09,41.1425,1.4132,Arnau Ribera Tort,2012-09-09 18:05:43+00:00,2025-10-20 11:39:57.621577+00:00,No,No destacada,Yes,,4-635--20120809-maja2.webp,,,"P.Abelló: No li veig prou caràcters com per a poder validar l'observació. Jo ho deixaria de moment a nivell de família Majidae, probablement Maja crispata, però no m'atreveixo a garantitzar-ho.",https://www.observadoresdelmar.es/Observations/400361,,,
Crustacis Decàpodes,400362,2012-07-20,41.1432,1.4142,Arnau Ribera Tort,2012-09-09 18:07:51+00:00,2025-10-20 11:39:57.780746+00:00,No,No destacada,Yes,Pilumnus,4-660--20120720-f1p.webp,,,,https://www.observadoresdelmar.es/Observations/400362,,,1
Crustacis Decàpodes,400363,2012-07-26,41.1429,1.4141,Arnau Ribera Tort,2012-09-09 18:11:24+00:00,2025-10-20 11:39:57.907230+00:00,No,No destacada,Yes,Pisa armata,4-663--20120726-f9p.webp,,,,https://www.observadoresdelmar.es/Observations/400363,,,1
Crustacis Decàpodes,400364,2012-08-08,41.1432,1.4142,Arnau Ribera Tort,2012-09-09 18:15:09+00:00,2025-10-20 11:39:58.043999+00:00,No,No destacada,Yes,Porcellana platycheles,4-668--20120808-f8p.webp,,,,https://www.observadoresdelmar.es/Observations/400364,,,25
Crustacis Decàpodes,400365,2012-07-22,41.132,1.3901,Arnau Ribera Tort,2012-09-09 18:18:05+00:00,2025-10-20 11:39:58.178867+00:00,No,No destacada,Yes,Portumnus latipes,4-669--20120722-f2p.webp,,,,https://www.observadoresdelmar.es/Observations/400365,,,1
Crustacis Decàpodes,400366,2012-07-20,41.1425,1.4132,Arnau Ribera Tort,2012-09-09 18:31:47+00:00,2025-10-20 11:39:58.251173+00:00,No,No destacada,Yes,Acanthonyx lunulatus,4-585--20120720-acanthonyx1.webp,,,"P. Abelló: Efectivament, és un Acanthonyx lunulatus, el rostre és característic, així com els dàctils (últim segment de les potes), aspecte llis de la closca però amb sedes. Aquesta espècie es troba per les costes atlàntiques africanes des de Namibia fins a Portugal (incloses Cabo Verde, Açores, Canàries i Madeira), i també a tota la Mediterrània.",https://www.observadoresdelmar.es/Observations/400366,,,1
Crustacis Decàpodes,400368,2012-08-12,41.1434,1.4147,Arnau Ribera Tort,2012-09-09 19:16:29+00:00,2025-10-20 11:41:44.856838+00:00,No,No destacada,Yes,Pirimela denticulata,4-662--20120812-pirimella1.webp,,,,https://www.observadoresdelmar.es/Observations/400368,,,1
Crustacis Decàpodes,400369,2012-08-09,41.1425,1.4132,Arnau Ribera Tort,2012-09-09 19:27:52+00:00,2025-10-20 11:39:58.522826+00:00,Yes,Fotografia excel·lent,Yes,Achaeus cranchii,4-99998--20120809-macropodia1.webp,,,"P. Abelló: Hola Arnau: Em vaig equivocar en la primera identificació. No és una Macropodia linaresi. És un Achaeus cranchii. Els petits bonys que tenen els peduncles oculars són característics de les espècies d’aquest gènere. Disculpa el meu error. La forma dels dàctils de les potes, molt corbats, és similar a la dels dàctils de Macropodia linaresi. És una espècie de mida petita, característica de fons amb algues de la plataforma continental somera, a relativament poc fons. Es troba per la Mediterrània i a l’Atlàntic oriental des de Senegal-Mauritania fins a les Illes Britàniques. Pots trobar informació sobre aquesta espècie al treball ""Crustáceos Decápodos Ibéricos"" de Zariquiey Álvarez (1968) que et pots descarregar de la web de Scientia Marina: http://www.icm.csic.es/scimar/",https://www.observadoresdelmar.es/Observations/400369,,,1
Crustacis Decàpodes,400370,2012-08-21,41.1426,1.4136,Arnau Ribera Tort,2012-09-09 19:40:00+00:00,2025-10-20 11:39:58.826541+00:00,No,No destacada,Yes,Acanthonyx lunulatus,4-99999--20120821-acanthonyx2.webp,Acanthonyx? ,,"P. Abelló: Efectivament, és un Acanthonyx lunulatus, el rostre és característic, així com els dàctils (últim segment de les potes), aspecte llis de la closca però amb sedes. Aquesta espècie es troba per les costes atlàntiques africanes des de Namibia fins a Portugal (incloses Cabo Verde, Açores, Canàries i Madeira), i també a tota la Mediterrània.",https://www.observadoresdelmar.es/Observations/400370,,,1
Crustacis Decàpodes,400371,2012-09-06,41.1435,1.4148,Arnau Ribera Tort,2012-09-09 19:48:22+00:00,2025-10-20 11:39:58.902789+00:00,No,No destacada,Yes,Herbstia condyliata,4-613--20120906-herbstiapos.webp,Falta corroborar espècie.,,"P. AbellÓ: Hola Arnau: et puc confirmar la identificació de l'espècie, bàsicament perquè el marge posterior de la closca té més d'una espina, tot i que els juvenils en poden tenir només una, però la forma de la closca i potes són també bastant característiques d'aquesta espècie, bastant comuna als fons de roca de poca profunditat a la Mediterrània i costes atlàntiques del nord d'Àfrica.",https://www.observadoresdelmar.es/Observations/400371,,,2
Crustacis Decàpodes,400434,2012-07-19,39.4905,2.4658,Jordi Fernández Ramón,2012-10-02 23:13:17+00:00,2025-10-20 11:39:59.235637+00:00,Yes,Fotografia excel·lent,Yes,Percnon gibbesi,4-99999--20120719-dsc02600.webp,,,"P. Abelló: Se trata de un Percnon gibbesi, una especie de origen atlántico y aguas cálidas que muy recientemente, desde hace unos pocos años, está colonizando el Mediterráneo. Las primeras observaciones de la especie se realizaron simultaneamente en Baleares y Sicilia en agosto de 1999.",https://www.observadoresdelmar.es/Observations/400434,,,2
Crustacis Decàpodes,400435,2012-07-14,39.5446,2.6197,Jordi Fernández Ramón,2012-10-02 23:19:58+00:00,2025-10-20 11:38:50.450210+00:00,No,No destacada,Yes,Palaemon serratus,4-651--20120714-dsc02451.webp,Profundidad entre -10 y -15m,,"P. Abelló: Efectivamente, las bandas transversales del cuerpo y patas, la ausencia de manchas blancas y la forma del rostro permiten identificar a este camarón como Palaemon serratus. Próximamente añadiremos un campo para poder indicar claramente la profundidad de las observaciones. Si quieres, puedes indicarlo en Comentarios. Gracias por tus observaciones.",https://www.observadoresdelmar.es/Observations/400435,,,2
Crustacis Decàpodes,400436,2012-08-18,39.4905,2.4658,Jordi Fernández Ramón,2012-10-02 23:29:08+00:00,2025-10-20 11:39:59.584616+00:00,No,No destacada,Yes,Palinurus elephas,4-653--20120818-dsc03105.webp,Profundidad -34m y una temperatura no superior a 19º,,,https://www.observadoresdelmar.es/Observations/400436,,,1
Crustacis Decàpodes,400495,2012-06-13,39.4507,2.7414,Juan Antonio Torres Balaguer,2012-10-05 20:25:52+00:00,2025-10-20 11:39:59.991440+00:00,No,No destacada,Yes,Palinurus elephas,4-653--20120613-dsc07214.webp,Esta langosta fue vista durante una inmersión en una zona de grandes rocas a -30mts donde tambien se pueden ver cigalas de buen tamaño.,,,https://www.observadoresdelmar.es/Observations/400495,,,1
Crustacis Decàpodes,400496,2012-07-11,39.529,2.4393,Juan Antonio Torres Balaguer,2012-10-05 20:33:51+00:00,2025-10-20 11:40:00.375058+00:00,Yes,Fotografia excel·lent,Yes,Dardanus calidus,4-99998--20120711-dsc05951.webp,Este cangrejo ermitaño lo vi en una inmersión nocturna a unos 10mts en una zona de rocas y posidonia.,,"P. Abelló: Se trata de un Dardanus calidus, un ermitaño de la família Diogenidae. Tienen la pinza izquierda ligeramente más grande que la derecha, a diferencia de los Paguridae, que tienen la pinza derecha mucho más grande que la izquierda. Dardanus calidus es típica de fondos rocosos o de sustratro duro infralitorales. Se puede confundir con Dardanus arrosor, pero las pinzas de arrosor tienen una apariencia escamosa a diferencia de las rugosidades que tiene calidus. La coloración de arrosor es más anaranjada, a diferencia rosado-rojizo típica del calidus. Además arrosor es de fondos blandos: arenoso-fangosos y fangosos, a diferencia de calidus que prefiere los sustratos duros.",https://www.observadoresdelmar.es/Observations/400496,,,2
Crustacis Decàpodes,400497,2012-07-11,39.529,2.4393,Juan Antonio Torres Balaguer,2012-10-05 20:44:44+00:00,2025-10-20 11:40:00.756876+00:00,No,No destacada,Yes,Maja crispata,4-635--20120711-dsc06955.webp,Esta cranca la encontre en una zona de rocas escondida bajo una gran piedra en una inmersión a unos -20mts.,,"P. Abelló: Aparentemente es una Maja crispata, pero ten cuidado de no confundirla con el centollo mediterráneo o cabra, Maja squinado, que, aparte de alcanzar grandes tallas, tiene las dos espinas del rostro bastante paralelas, a diferencia de la Maja crispata que las tiene muy divergentes y relativamente largas. Si las miras por la cara ventral las verás bien, porque por arriba suelen tener muchos epibiontes y no se puede apreciar la forma.",https://www.observadoresdelmar.es/Observations/400497,,,1
Crustacis Decàpodes,400507,2012-10-06,39.4984,2.4592,Juan Antonio Torres Balaguer,2012-10-07 17:10:43+00:00,2025-10-20 11:40:00.868947+00:00,No,No destacada,Yes,Inachus phalangium,4-99998--20121006-dsc08344 copy.webp,"Estos cangrejos normalmente los suelo ver asociados a la anemona ""anemonia viridis"" por lo general suele haber un solo individuo en cada anemona pero a veces suelen haber dos.",,"P. Abelló: Se trata de Inachus phalangium, de la familia Inachidae (hasta no hace mucho en la familia Majidae). Esta especie suele encontrarse muy asociada a las anémonas. Los Inachus se caracterizan, entre otros caracteres, por tener el segundo par de patas (primero después de las pinzas) mucho más largo que los siguientes.",https://www.observadoresdelmar.es/Observations/400507,,,2
Crustacis Decàpodes,400553,2012-05-24,39.5345,2.5894,Juan Antonio Torres Balaguer,2012-10-12 18:25:32+00:00,2025-10-20 11:39:27.463243+00:00,Yes,Fotografia excel·lent,Yes,Scyllarus arctus,4-673--20120524-dsc04798 copy.webp,Observado durante una inmersión nocturna bajo una losa a unos 10mts de fondo.,,,https://www.observadoresdelmar.es/Observations/400553,,,1
Crustacis Decàpodes,400554,2012-05-24,39.5345,2.5894,Juan Antonio Torres Balaguer,2012-10-12 18:34:05+00:00,2025-10-20 11:40:01.261579+00:00,No,No destacada,Yes,Acanthonyx lunulatus,4-99998--20120524-dsc04844 copy (2).webp,Esta especie fue observada durante una inmersión nocturna a unos 7mts de fondo normalmente se les puede ver de noche entre la posidonia o en concentraciones muy espesas de algas de distintas clases.,,"P. Abelló: Creo que se trata de un Acanthonyx lunulatus. La resolución de la foto no me permite observar detalles pero el aspecto general, forma de las patas con todos los dáctilos agarrándose a la hoja, y las espinas del cefalotórax que se intuyen permiten atribuir esta imagen a la especie que te indico, creo que con un margen pequeño de error. Muchas gracias.",https://www.observadoresdelmar.es/Observations/400554,,,2
Crustacis Decàpodes,400628,2012-08-17,41.1419,1.4122,Pere Abelló i Sala,2012-11-09 19:10:10+00:00,2012-11-12 17:58:28+00:00,No,No destacada,Yes,Calcinus tubularis,,en agujeros de rocas,,,https://www.observadoresdelmar.es/Observations/400628,,,25
Crustacis Decàpodes,400629,2012-08-12,41.143,1.4136,Pere Abelló i Sala,2012-11-09 19:11:58+00:00,2012-11-12 17:58:04+00:00,No,No destacada,Yes,Eriphia verrucosa,,,,,https://www.observadoresdelmar.es/Observations/400629,,,1
Crustacis Decàpodes,400630,2012-08-01,41.143,1.4136,Pere Abelló i Sala,2012-11-09 19:13:06+00:00,2012-11-12 17:57:40+00:00,No,No destacada,Yes,Pagurus anachoretus,,,,,https://www.observadoresdelmar.es/Observations/400630,,,1
Crustacis Decàpodes,400631,2012-08-01,41.143,1.4136,Pere Abelló i Sala,2012-11-09 19:13:42+00:00,2012-11-12 17:57:13+00:00,No,No destacada,Yes,Clibanarius erythropus,,,,,https://www.observadoresdelmar.es/Observations/400631,,,25
Crustacis Decàpodes,400632,2010-08-09,41.1431,1.4127,Pere Abelló i Sala,2012-11-09 19:23:27+00:00,2015-10-10 19:13:51+00:00,No,No destacada,Yes,Portumnus latipes,,3 inds,,,https://www.observadoresdelmar.es/Observations/400632,,,3
Crustacis Decàpodes,400638,2009-08-27,41.8925,3.1933,Pere Abelló i Sala,2012-11-12 18:06:35+00:00,2012-12-09 18:21:25+00:00,No,No destacada,Yes,Eriphia verrucosa,,alguna,,,https://www.observadoresdelmar.es/Observations/400638,,,25
Crustacis Decàpodes,400639,2009-08-27,41.8935,3.1951,Pere Abelló i Sala,2012-11-12 18:08:16+00:00,2012-12-09 18:20:05+00:00,No,No destacada,Yes,Diogenes pugilator,,algun,,,https://www.observadoresdelmar.es/Observations/400639,,,25
Crustacis Decàpodes,400640,2009-08-26,42.1248,3.1365,Pere Abelló i Sala,2012-11-12 18:10:29+00:00,2012-12-09 18:19:12+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,algun,,,https://www.observadoresdelmar.es/Observations/400640,,,25
Crustacis Decàpodes,400641,2009-08-18,41.1431,1.4136,Pere Abelló i Sala,2012-11-12 18:59:44+00:00,2012-12-09 18:18:26+00:00,No,No destacada,Yes,Lysmata seticaudata,,,,,https://www.observadoresdelmar.es/Observations/400641,,,1
Crustacis Decàpodes,400642,2008-10-11,39.1581,-0.2523,Pere Abelló i Sala,2012-11-12 19:02:03+00:00,2012-12-09 18:17:24+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,,,,https://www.observadoresdelmar.es/Observations/400642,,,50
Crustacis Decàpodes,400643,2008-10-08,38.1908,-0.5658,Pere Abelló i Sala,2012-11-12 19:05:51+00:00,2012-11-14 21:28:03+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,bastants,,,https://www.observadoresdelmar.es/Observations/400643,,,25
Crustacis Decàpodes,400644,2008-10-08,38.1546,-0.6263,Pere Abelló i Sala,2012-11-12 19:08:25+00:00,2012-11-14 21:27:03+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,molts reclutes,,,https://www.observadoresdelmar.es/Observations/400644,,,50
Crustacis Decàpodes,400645,2008-10-08,38.3287,-0.5076,Pere Abelló i Sala,2012-11-12 19:10:37+00:00,2012-11-14 21:26:18+00:00,No,No destacada,Yes,Pachygrapsus marmoratus,,algun,,,https://www.observadoresdelmar.es/Observations/400645,,,25
Crustacis Decàpodes,400646,2008-10-08,38.33,-0.5088,Pere Abelló i Sala,2012-11-12 19:18:09+00:00,2014-10-28 12:50:18+00:00,No,No destacada,Yes,Carcinus aestuarii,,Desembocadura Rambla de les Ovelles,,,https://www.observadoresdelmar.es/Observations/400646,,,2
